type,text
ham,"Go until jurong point, crazy.. Available only ..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup fina...
ham,U dun say so early hor... U c already then say...
ham,"Nah I don't think he goes to usf, he lives aro..."
spam,FreeMsg Hey there darling it's been 3 week's n...
ham,Even my brother is not like to speak with me. ...
ham,As per your request 'Melle Melle (Oru Minnamin...
spam,WINNER!! As a valued network customer you have...
spam,Had your mobile 11 months or more? U R entitle...
ham,I'm gonna be home soon and i don't want to tal...
spam,"SIX chances to win CASH! From 100 to 20,000 po..."
spam,URGENT! You have won a 1 week FREE membership ...
ham,I've been searching for the right words to tha...
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
spam,"XXXMobileMovieClub: To use your credit, click ..."
ham,Oh k...i'm watching here:)
ham,Eh u remember how 2 spell his name... Yes i di...
ham,Fine if that's the way u feel. That's the way ...
spam,England v Macedonia - dont miss the goals/team...
ham,Is that seriously how you spell his name?
ham,I¡®m going to try for 2 months ha ha only joking
ham,So ¨¹ pay first lar... Then when is da stock c...
ham,Aft i finish my lunch then i go str down lor. ...
ham,Ffffffffff. Alright no way I can meet up with ...
ham,Just forced myself to eat a slice. I'm really ...
ham,Lol your always so convincing.
ham,Did you catch the bus ? Are you frying an egg ...
ham,"I'm back &amp; we're packing the car now, I'll..."
ham,Ahhh. Work. I vaguely remember that! What does...
ham,"Wait that's still not all that clear, were you..."
ham,Yeah he got in at 2 and was v apologetic. n ha...
ham,K tell me anything about you.
ham,For fear of fainting with the of all that hous...
spam,Thanks for your subscription to Ringtone UK yo...
ham,Yup... Ok i go home look at the timings then i...
ham,"Oops, I'll let you know when my roommate's done"
ham,I see the letter B on my car
ham,Anything lor... U decide...
ham,Hello! How's you and how did saturday go? I wa...
ham,Pls go ahead with watts. I just wanted to be s...
ham,"Did I forget to tell you ? I want you , I need..."
spam,07732584351 - Rodger Burns - MSG = We tried to...
ham,WHO ARE YOU SEEING?
ham,Great! I hope you like your man well endowed. ...
ham,No calls..messages..missed calls
